Wall time,Step,Value
1733715914.2533808,18,6.2329864501953125
1733715917.4085262,47,6.318345546722412
1733715919.044746,62,6.1729021072387695
1733715919.1426296,63,6.074674129486084
1733715920.0198085,71,6.347705841064453
1733715921.8998857,89,5.8726677894592285
1733715923.703945,103,5.785156726837158
1733715924.1134772,107,5.862277507781982
1733715926.3704932,128,5.762674331665039
1733715926.6356142,130,5.695572853088379
1733715929.5415554,157,5.522782325744629
1733715929.9300709,160,5.526992321014404
1733715930.3357747,164,5.5537872314453125
1733715931.1954932,172,5.4128313064575195
1733715933.248025,191,5.284630298614502
1733715934.858909,203,5.237409591674805
1733715937.728204,229,5.245256423950195
1733715939.367232,244,5.324990272521973
1733715939.4757712,245,5.1322808265686035
1733715940.9834068,259,4.950157642364502
1733715942.3231866,271,5.077182292938232
1733715943.4882245,282,5.003171920776367
1733715943.7808542,285,4.858692169189453
1733715947.4145348,316,4.943286895751953
1733715947.720652,319,4.807617664337158
1733715950.6485639,346,4.648576259613037
1733715951.9167323,358,5.5863800048828125
1733715952.8031137,366,4.755404472351074
1733715954.0877469,378,4.5184326171875
1733715955.0139832,386,4.546273231506348
1733715957.031371,402,4.385797500610352
1733715958.4274082,415,4.295629501342773
1733715960.7028065,436,4.338797569274902
1733715960.8024344,437,4.31575345993042
1733715961.7715874,446,4.358874320983887
1733715963.6312559,461,4.15733528137207
1733715964.0990896,465,4.104475021362305
1733715965.177022,475,4.149412631988525
1733715965.6763885,480,4.2594194412231445
1733715965.7820196,481,4.986039161682129
1733715968.9579053,510,4.241434574127197
1733715969.1640615,512,3.9412949085235596
1733715969.2679496,513,3.9295332431793213
1733715971.4366271,533,3.994344472885132
1733715972.0330331,538,3.98075270652771
1733715972.2386174,540,3.86917781829834
1733715974.1822581,556,3.839303493499756
1733715974.799275,562,3.965847969055176
1733715977.8154364,590,4.238040924072266
1733715978.2855692,594,3.9057505130767822
1733715978.4867432,596,3.7413244247436523
1733715982.1113257,629,4.335789680480957
1733715982.9962192,637,3.819042682647705
1733715983.6170664,643,3.826077699661255
1733715983.797124,644,3.6989784240722656
1733715985.530599,658,3.860396385192871
1733715986.6422207,667,3.602968692779541
1733715987.5110207,675,3.467165946960449
1733715992.4249349,721,3.547743558883667
1733715992.8854597,725,3.4205732345581055
1733715997.2487924,764,3.347893476486206
1733715998.4195542,775,4.128146171569824
1733715999.1223147,782,3.3067736625671387
1733715999.783245,788,3.688081741333008
1733716001.5152466,804,3.4077463150024414
1733716004.4440248,832,3.179333209991455
1733716007.327412,857,3.283146381378174
1733716008.314451,866,3.0876901149749756
1733716010.4801147,886,3.1348862648010254
1733716016.6893198,942,3.069611072540283
1733716022.879246,999,2.9892263412475586
1733716023.3794787,1004,3.0279929637908936
1733716024.7741978,1015,2.930669069290161
1733716025.5627491,1022,2.8729970455169678
1733716025.9636374,1026,2.845210075378418
1733716026.2271419,1028,2.8958582878112793
1733716027.1545599,1037,2.825408697128296
1733716029.2084622,1056,2.7563939094543457
1733716030.8438733,1071,3.2214853763580322
1733716031.4552398,1077,2.7565484046936035
1733716033.8000944,1098,2.6484951972961426
1733716034.4009328,1104,2.6145925521850586
1733716035.081545,1109,2.637927293777466
1733716035.281989,1111,2.634430170059204
1733716036.7459474,1125,2.731433391571045
1733716037.5106642,1132,2.708461046218872
1733716039.555336,1151,2.996809720993042
1733716039.6627293,1152,2.663382053375244
1733716040.9452627,1164,2.57826566696167
1733716042.0067916,1174,2.5091254711151123
1733716042.2046325,1176,2.6796274185180664
1733716043.085779,1184,2.6672747135162354
1733716044.0531435,1193,2.6449718475341797
1733716047.0062284,1218,2.581071376800537
1733716047.7109432,1225,2.7743260860443115
1733716049.950546,1246,2.965725898742676
1733716050.612483,1252,2.47566819190979
